Address,Place,City,State,Phone,Zip,CountryCode,Country,Location
"['Street:  191-A, Pekan Jitra Ii,', 'City:   Jitra', 'State/province/area:    Kedah', 'Phone number  +60 (0)3 2148-3833', 'Zip code  06000', 'Country calling code  +60', 'Country  Malaysia']","191-A, Pekan Jitra Ii,",Jitra,Kedah,+60 (0)3 2148-3833,06000,+60,Malaysia,"191-A, Pekan Jitra Ii,, Jitra, Kedah"
"['Street:  7Th Floor Sun Komplek Jln Bukit Bintang', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032144-9297', 'Zip code  55100', 'Country calling code  +60', 'Country  Malaysia']",7Th Floor Sun Komplek Jln Bukit Bintang,Kuala Lumpur,Wilayah Persekutuan,032144-9297,55100,+60,Malaysia,"7Th Floor Sun Komplek Jln Bukit Bintang, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  83 Jln Mega Mendung Komplek Bandar', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  037981-4087', 'Zip code  58200', 'Country calling code  +60', 'Country  Malaysia']",83 Jln Mega Mendung Komplek Bandar,Kuala Lumpur,Wilayah Persekutuan,037981-4087,58200,+60,Malaysia,"83 Jln Mega Mendung Komplek Bandar, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  65A Lkk Kledang Raya Taman Kledang Jaya', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  05528-1914', 'Zip code  30100', 'Country calling code  +60', 'Country  Malaysia']",65A Lkk Kledang Raya Taman Kledang Jaya,Ipoh,Perak,05528-1914,30100,+60,Malaysia,"65A Lkk Kledang Raya Taman Kledang Jaya, Ipoh, Perak"
"['Street:  47 Slr Rokam 11 Taman Jaya', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  05313-4180', 'Zip code  31350', 'Country calling code  +60', 'Country  Malaysia']",47 Slr Rokam 11 Taman Jaya,Ipoh,Perak,05313-4180,31350,+60,Malaysia,"47 Slr Rokam 11 Taman Jaya, Ipoh, Perak"
"['Street:  Sedc, Piasau Industrial Estate,', 'City:   Miri', 'State/province/area:    Sarawak', 'Phone number  +60 (0)3 7847-6310', 'Zip code  98000', 'Country calling code  +60', 'Country  Malaysia']","Sedc, Piasau Industrial Estate,",Miri,Sarawak,+60 (0)3 7847-6310,98000,+60,Malaysia,"Sedc, Piasau Industrial Estate,, Miri, Sarawak"
"['Street:  1st Floor, Jalan Tun Perak,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03-2026-6510', 'Zip code  50050', 'Country calling code  +60', 'Country  Malaysia']","1st Floor, Jalan Tun Perak,",Kuala Lumpur,Wilayah Persekutuan,03-2026-6510,50050,+60,Malaysia,"1st Floor, Jalan Tun Perak,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  8 The Ampwalk North Block 218 Jln Ampang', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032163-6151', 'Zip code  50450', 'Country calling code  +60', 'Country  Malaysia']",8 The Ampwalk North Block 218 Jln Ampang,Kuala Lumpur,Wilayah Persekutuan,032163-6151,50450,+60,Malaysia,"8 The Ampwalk North Block 218 Jln Ampang, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  No. 31E', 'City:   Kota Bahru', 'State/province/area:    Kelantan', 'Phone number  019-2045648 WAN DIN / 014-2391171 SALM64', 'Zip code  53100', 'Country calling code  +60', 'Country  Malaysia']",No. 31E,Kota Bahru,Kelantan,019-2045648 WAN DIN / 014-2391171 SALM64,53100,+60,Malaysia,"No. 31E, Kota Bahru, Kelantan"
"['Street:  A 116 Jln Serampang Taman Pelangi', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07333-3296', 'Zip code  80400', 'Country calling code  +60', 'Country  Malaysia']",A 116 Jln Serampang Taman Pelangi,Johor Bahru,Johor,07333-3296,80400,+60,Malaysia,"A 116 Jln Serampang Taman Pelangi, Johor Bahru, Johor"
