Address,Place,City,State,Phone,Zip,CountryCode,Country,Location
"['Street:  Jalan Tengku Ampuan Zabedah E9/e, Seksyen 9,', 'City:   Shah Alam', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 7846-3386', 'Zip code  40100', 'Country calling code  +60', 'Country  Malaysia']","Jalan Tengku Ampuan Zabedah E9/e, Seksyen 9,",Shah Alam,Selangor,+60 (0)3 7846-3386,40100,+60,Malaysia,"Jalan Tengku Ampuan Zabedah E9/e, Seksyen 9,, Shah Alam, Selangor"
"['Street:  Suburban Centre, Pusat Bandar Wangsa Maju,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03-4149-6379', 'Zip code  53300', 'Country calling code  +60', 'Country  Malaysia']","Suburban Centre, Pusat Bandar Wangsa Maju,",Kuala Lumpur,Wilayah Persekutuan,03-4149-6379,53300,+60,Malaysia,"Suburban Centre, Pusat Bandar Wangsa Maju,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  No. 33 Jln Masjid Taiping', 'City:   Taiping', 'State/province/area:    Perak', 'Phone number  6058071731', 'Zip code  34000', 'Country calling code  +60', 'Country  Malaysia']",No. 33 Jln Masjid Taiping,Taiping,Perak,6058071731,34000,+60,Malaysia,"No. 33 Jln Masjid Taiping, Taiping, Perak"
"['Street:  12 Jalan Dato Muda Jaafar', 'City:   Kuala Kubu Baru', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 6065-1117', 'Zip code  44000', 'Country calling code  +60', 'Country  Malaysia']",12 Jalan Dato Muda Jaafar,Kuala Kubu Baru,Selangor,+60 (0)3 6065-1117,44000,+60,Malaysia,"12 Jalan Dato Muda Jaafar, Kuala Kubu Baru, Selangor"
"['Street:  22 Psn Zaaba Taman Tun Dr Ismail', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  037726-8852', 'Zip code  60000', 'Country calling code  +60', 'Country  Malaysia']",22 Psn Zaaba Taman Tun Dr Ismail,Kuala Lumpur,Wilayah Persekutuan,037726-8852,60000,+60,Malaysia,"22 Psn Zaaba Taman Tun Dr Ismail, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  No. 1, Jalan Centre Point,', 'City:   Kota Kinabalu', 'State/province/area:    Sabah', 'Phone number  +60 (0)88 794265', 'Zip code  88000', 'Country calling code  +60', 'Country  Malaysia']","No. 1, Jalan Centre Point,",Kota Kinabalu,Sabah,+60 (0)88 794265,88000,+60,Malaysia,"No. 1, Jalan Centre Point,, Kota Kinabalu, Sabah"
"['Street:  1 Palace Hotel Jln Mesjid India', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032693-3230', 'Zip code  50100', 'Country calling code  +60', 'Country  Malaysia']",1 Palace Hotel Jln Mesjid India,Kuala Lumpur,Wilayah Persekutuan,032693-3230,50100,+60,Malaysia,"1 Palace Hotel Jln Mesjid India, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  4 Jalan Kancil Taman Abad', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  (607) 3317624', 'Zip code  80250', 'Country calling code  +60', 'Country  Malaysia']",4 Jalan Kancil Taman Abad,Johor Bahru,Johor,(607) 3317624,80250,+60,Malaysia,"4 Jalan Kancil Taman Abad, Johor Bahru, Johor"
"['Street:  Jalan Cenderasari Taman Tasik Perdana', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032693-4748', 'Zip code  50480', 'Country calling code  +60', 'Country  Malaysia']",Jalan Cenderasari Taman Tasik Perdana,Kuala Lumpur,Wilayah Persekutuan,032693-4748,50480,+60,Malaysia,"Jalan Cenderasari Taman Tasik Perdana, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  1 Blok C Diamond Square Jln 3/50 Off Jln Gombak Malay', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  034023-3266', 'Zip code  53000', 'Country calling code  +60', 'Country  Malaysia']",1 Blok C Diamond Square Jln 3/50 Off Jln Gombak Malay,Kuala Lumpur,Wilayah Persekutuan,034023-3266,53000,+60,Malaysia,"1 Blok C Diamond Square Jln 3/50 Off Jln Gombak Malay, Kuala Lumpur, Wilayah Persekutuan"
