Year,Date_Temp,Date,State,Region,Place,Name,Line Check,Latitude,Longitude,geometry
2015,1-Mar,3/1/2015,Johor,Kota Tinggi,Kg. Lepau,"Kg. Lepau, Kota Tinggi, Johor",1,1.3896034,104.1493576,POINT (104.14935756666667 1.3896034)
2015,22/9,22/9/2015,Johor,Johor Bahru,Kg. Pasir,"Kg. Pasir, Johor Bahru, Johor",1,1.4966718,103.701202,POINT (103.701202 1.4966718)
2015,11-May,5/11/2015,Johor,Johor Bahru,Kg. Pasir,"Kg. Pasir, Johor Bahru, Johor",1,1.4966718,103.701202,POINT (103.701202 1.4966718)
2015,11-Nov,11/11/2015,Johor,Tangkak,"Kg. Pulau Penarik, Sg. Mati","Kg. Pulau Penarik, Sg. Mati, Tangkak, Johor",1,2.1371497,102.5671953,POINT (102.5671953 2.1371497)
2015,11-Nov,11/11/2015,Johor,Kluang,Kg. Paya Mas,"Kg. Paya Mas, Kluang, Johor",1,1.844126,103.3014763,POINT (103.3014763 1.844126)
2015,11-Nov,11/11/2015,Johor,Kluang,Kg. Sg. Linau,"Kg. Sg. Linau, Kluang, Johor",1,1.82990355,103.2651515,POINT (103.2651514753716 1.82990355)
2015,11-Nov,11/11/2015,Johor,Kluang,Kg. Ithnin Maarof,"Kg. Ithnin Maarof, Kluang, Johor",1,2.0437391,103.3207494,POINT (103.3207494 2.0437391)
2015,17/11,17/11/2015,Johor,Batu Pahat,Tongkang Pecah,"Tongkang Pecah, Batu Pahat, Johor",1,1.91875895,102.9554502,POINT (102.95545019602139 1.91875895)
2015,19/11,19/11/2015,Johor,Johor Bahru,Jalan Wong Ah Fook,"Jalan Wong Ah Fook, Johor Bahru, Johor",1,1.4618227,103.7633777,POINT (103.7633777 1.4618227)
2015,4-Jan,1/4/2015,Kedah,Kubang Pasu,Jalan Napoh,"Jalan Napoh, Kubang Pasu, Kedah",1,6.3582712,100.4203698,POINT (100.4203698 6.3582712)
2015,4-Jan,1/4/2015,Kedah,Kota Setar,Jalan Sultan Badlishah,"Jalan Sultan Badlishah, Kota Setar, Kedah",1,6.1187492,100.368634,POINT (100.368634 6.1187492)
2015,30/4,30/4/2015,Kedah,Kota Setar,Jalan Telok Wanjah,"Jalan Telok Wanjah, Kota Setar, Kedah",1,6.123691,100.3736947,POINT (100.3736947 6.123691)
2015,30/4,30/4/2015,Kedah,Kulim,Kg. Bukit Sarang Ayam,"Kg. Bukit Sarang Ayam, Kulim, Kedah",1,5.456389,100.5707418,POINT (100.5707418 5.456389)
2015,5-Dec,12/5/2015,Kedah,Kulim,Kg. Ayer Merah,"Kg. Ayer Merah, Kulim, Kedah",1,5.362498,100.5313697,POINT (100.5313697 5.362498)
2015,5-Dec,12/5/2015,Kedah,Kulim,Kg. Sg. Seluang,"Kg. Sg. Seluang, Kulim, Kedah",1,5.447666,100.5513591,POINT (100.5513591 5.447666)
2015,17/5,17/5/2015,Kedah,Kota Setar,Taman Ambar,"Taman Ambar, Kota Setar, Kedah",1,6.12700385,100.3772433,POINT (100.3772432874695 6.12700385)
2015,17/5,17/5/2015,Kedah,Kota Setar,Lorong Perwira,"Lorong Perwira, Kota Setar, Kedah",1,6.1190316,100.3763072,POINT (100.3763072 6.1190316)
2015,17/5,17/5/2015,Kedah,Kota Setar,Lorong Pahlawan,"Lorong Pahlawan, Kota Setar, Kedah",1,6.1226879,100.3763925,POINT (100.3763925 6.1226879)
2015,17/5,17/5/2015,Kedah,Kota Setar,Lorong Pendekar,"Lorong Pendekar, Kota Setar, Kedah",1,6.1204061,100.3782393,POINT (100.3782393 6.1204061)
