distance,city,state,zip,flood_risk
0.0,Kuala Lumpur,Kuala Lumpur,50050,1
1267.2715581684524,Johor Bahru,Johor,80400,0
157.33697059481582,Muar,Johor,84000,1
775.2805332131976,Puchong,Selangor,47100,0
886.3346642438673,Petaling Jaya,Selangor,46000,0
656.8220045181135,Klang,Selangor,41000,0
261.9632001057625,Kuala Lumpur,Kuala Lumpur,50000,1
2564.513564022031,Subang Jaya,Selangor,47620,0
471.3421347044776,Johor Bahru,Johor,81200,1
1784.168778604862,Kuala Lumpur,Kuala Lumpur,53000,0
858.2456430592781,Kuala Lumpur,Kuala Lumpur,56000,0
155.2135876213443,Kuala Lumpur,Kuala Lumpur,55100,1
277.9648937035569,Kuala Lumpur,Kuala Lumpur,50400,1
761.731832455607,Cheras,Selangor,43200,0
366.8102816574833,Kuala Lumpur,Kuala Lumpur,50470,1
830.8121312277099,Kuala Lumpur,Kuala Lumpur,55100,0
435.9845204455574,Butterworth,Penang,12100,1
900.1552663438848,Klang,Selangor,42000,0
1350.050508624938,Batu Caves,Selangor,68100,0
753.1209759556434,Seri Kembangan,Selangor,43300,0
879.2535210449965,Petaling Jaya,Selangor,46300,0
254.2029587038489,Klang,Selangor,41200,1
2287.3833050037824,Ipoh,Perak,31650,0
2002.7897354995305,Johor Bahru,Johor,81200,0
1960.97773034784,Kuala Lumpur,Kuala Lumpur,56000,0
1832.050007428545,Kuala Lumpur,Kuala Lumpur,55100,0
1148.5788516544544,Klang,Selangor,42000,0
244.97442964239104,Klang,Selangor,42450,1
64.33249225259236,Johor Bahru,Johor,81100,1
376.8002186622493,Klang,Selangor,42100,1
2389.460774519868,Tasek Gelugor,Penang,13300,0
348.43863854367504,Kuala Lumpur,Kuala Lumpur,51000,1
197.02381751701373,Kuching,Sarawak,93350,1
121.51236776304762,Kuala Lumpur,Kuala Lumpur,53300,1
2002.7897354995305,Johor Bahru,Johor,81200,0
366.8102816574833,Kuala Lumpur,Kuala Lumpur,50470,1
589.0245663977263,Ipoh,Perak,30000,0
726.235028124888,Kajang,Selangor,43000,0
303.28123896051784,Kota Kinabalu,Sabah,88450,1
781.8857315596131,Kuala Lumpur,Kuala Lumpur,51200,0
1460.4723696666822,Johor Bahru,Johor,81200,0
976.1671826967214,Klang,Selangor,42000,0
1625.5933115311718,Johor Bahru,Johor,81200,0
486.0048405079849,Petaling Jaya,Selangor,46100,1
1801.8711147413685,Petaling Jaya,Selangor,46300,0
598.0821945729941,Kuala Lumpur,Kuala Lumpur,53000,0
1413.8617981182672,Johor Bahru,Johor,81100,0
1893.159418754395,Kuala Lumpur,Kuala Lumpur,58200,0
0.0,Kuantan,Pahang,25000,1
469.8327658103372,Kajang,Selangor,43000,1
291.42018842564454,Klang,Selangor,42100,1
246.1778857651032,Kuala Lumpur,Kuala Lumpur,51200,1
2003.8667561832376,Ipoh,Perak,31400,0
764.6763072828312,Kuala Lumpur,Kuala Lumpur,55100,0
356.0248439150968,Kuala Lumpur,Kuala Lumpur,50470,1
277.9648937035569,Kuala Lumpur,Kuala Lumpur,50400,1
1151.530849595727,Johor Bahru,Johor,81100,0
368.7841661756463,Kuching,Sarawak,93400,1
656.8753072651493,Seremban,Negeri Sembilan,70100,0
182.406319042514,Johor Bahru,Johor,81100,1
589.0245663977263,Ipoh,Perak,30000,0
37785.91138436691,Kuala Terengganu,Terengganu,20928,0
2609.2786942210605,Kuantan,Pahang,26080,0
1414.142391103936,Kuala Lumpur,Kuala Lumpur,52100,0
1294.7633385885752,Petaling Jaya,Selangor,47500,0
339.48591618566724,Kuala Lumpur,Kuala Lumpur,59100,1
267.69606144165925,Johor Bahru,Johor,81100,1
433.3894575772429,Ampang,Selangor,68000,1
284.987453933,Kapit,Sarawak,96800,1
1025.5664961783689,Kuala Lumpur,Kuala Lumpur,50470,0
217.2811556893505,Kuala Lumpur,Kuala Lumpur,50150,1
2109.193194120573,Johor Bahru,Johor,81300,0
1003.0456471922578,Johor Bahru,Johor,81200,0
353.8226759655297,Kuala Lumpur,Kuala Lumpur,50300,1
691.7355930412161,Taman Peringgit Jaya,Melaka,75400,0
570.1949148567668,Johor Bahru,Johor,81200,0
3467.472095427708,Kuala Terengganu,Terengganu,21080,0
1582.2105451756886,Miri,Sarawak,98000,0
121.51236776304762,Kuala Lumpur,Kuala Lumpur,53300,1
1492.0795011876326,Petaling Jaya,Selangor,46050,0
2395.031401559701,Ipoh,Perak,30000,0
1403.0173836457975,Kuala Lumpur,Kuala Lumpur,58200,0
700.5027199922471,Ipoh,Perak,30300,0
134.24518102853577,Kuala Lumpur,Kuala Lumpur,59000,1
1135.023236402687,Kuala Lumpur,Kuala Lumpur,53200,0
264.8094839674531,Kuala Lumpur,Kuala Lumpur,56000,1
409.0531384649654,Seremban,Negeri Sembilan,70200,1
201.35029964489863,Sepang,Selangor,43900,1
1316.5596907349775,Petaling Jaya,Selangor,47301,0
2592.133253681664,Petaling Jaya,Selangor,47600,0
1231.2198008288706,Petaling Jaya,Selangor,46050,0
1739.7430205789271,Kuala Lumpur,Kuala Lumpur,55200,0
888.7079120891303,Johor Bahru,Johor,80400,0
806.8859336788447,Kulai,Johor,81000,0
2342.1180259656235,Johor Bahru,Johor,81100,0
1326.6007337284707,Subang Jaya,Selangor,47610,0
0.0,Padang Lalang,Penang,14000,1
556.1474400139821,Petaling Jaya,Selangor,47301,0
838.4900193663312,Johor Bahru,Johor,81200,0
1154.6771261715205,Subang Jaya,Selangor,47620,0
1149.1028336767222,Johor Bahru,Johor,81200,0
1837.451647975464,Subang Jaya,Selangor,47600,0
143.22997580607324,Kuala Lumpur,Kuala Lumpur,53300,1
2237.9151215813777,Ipoh,Perak,30250,0
1990.01905091136,Johor Bahru,Johor,81100,0
2064.0127205282074,Bandar Baru Bangi,Selangor,43650,0
1832.050007428545,Kuala Lumpur,Kuala Lumpur,53200,0
0.0,Png,Penang,14000,1
1385.4957931938573,Kuala Lumpur,Kuala Lumpur,59100,0
178.35416609431874,Puchong,Selangor,47100,1
957.0289889009564,Klang,Selangor,41150,0
1334.1062968261356,Johor Bahru,Johor,81100,0
1889.867604145254,Kuala Lumpur,Kuala Lumpur,56000,0
1052.6051777443822,Kajang,Selangor,43000,0
2099.7233256857185,Petaling Jaya,Selangor,47301,0
2271.8430498261982,Ipoh,Perak,31650,0
1693.6943004903883,Kajang,Selangor,43000,0
0.0,Johor Bahru,Johor,81100,1
2135.335382895287,Johor Bahru,Johor,81100,0
419.7053985208255,Kuala Lumpur,Kuala Lumpur,54100,1
181.9424066769301,Kuala Lumpur,Kuala Lumpur,59100,1
959.9813549521746,Klang,Selangor,53300,0
1131.3612010661636,Kuala Lumpur,Kuala Lumpur,53300,0
1486.659659688362,Kuala Lumpur,Kuala Lumpur,50050,0
536.3580033582659,Petaling Jaya,Selangor,46100,0
1507.4320914799623,Kuala Lumpur,Kuala Lumpur,57100,0
