Address,Place,City,State,Phone,Zip,CountryCode,Country,Location,Latitude,Longitude,geometry
"['Street:  1st Floor, Jalan Tun Perak,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03-2026-6510', 'Zip code  50050', 'Country calling code  +60', 'Country  Malaysia']","1st Floor, Jalan Tun Perak,",Kuala Lumpur,Wilayah Persekutuan,03-2026-6510,50050,60,Malaysia,"1st Floor, Jalan Tun Perak,, Kuala Lumpur, Wilayah Persekutuan",3.1492318,101.6966297,POINT (101.6966297 3.1492318)
"['Street:  A 116 Jln Serampang Taman Pelangi', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07333-3296', 'Zip code  80400', 'Country calling code  +60', 'Country  Malaysia']",A 116 Jln Serampang Taman Pelangi,Johor Bahru,Johor,07333-3296,80400,60,Malaysia,"A 116 Jln Serampang Taman Pelangi, Johor Bahru, Johor",1.4844033,103.7793898,POINT (103.7793898 1.4844033)
"['Street:  69, Jalan Ali,', 'City:   Muar', 'State/province/area:    Johor', 'Phone number  6069533808', 'Zip code  84000', 'Country calling code  +60', 'Country  Malaysia']","69, Jalan Ali,",Muar,Johor,6069533808,84000,60,Malaysia,"69, Jalan Ali,, Muar, Johor",2.0458419,102.5678657,POINT (102.5678657 2.0458419)
"['Street:  Jalan Kenari 17D, Bandar Puchong Jaya,', 'City:   Puchong', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 8076-1325', 'Zip code  47100', 'Country calling code  +60', 'Country  Malaysia']","Jalan Kenari 17D, Bandar Puchong Jaya,",Puchong,Selangor,+60 (0)3 8076-1325,47100,60,Malaysia,"Jalan Kenari 17D, Bandar Puchong Jaya,, Puchong, Selangor",3.0470651,101.6240107,POINT (101.6240107 3.0470651)
"['Street:  Jalan Pjs 1/50, Taman Petaling Utama,', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 7770-5556', 'Zip code  46000', 'Country calling code  +60', 'Country  Malaysia']","Jalan Pjs 1/50, Taman Petaling Utama,",Petaling Jaya,Selangor,+60 (0)3 7770-5556,46000,60,Malaysia,"Jalan Pjs 1/50, Taman Petaling Utama,, Petaling Jaya, Selangor",3.0793248,101.6478654,POINT (101.6478654 3.0793248)
"['Street:  No 17 Jalan Besar', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  (603) 33724729', 'Zip code  41000', 'Country calling code  +60', 'Country  Malaysia']",No 17 Jalan Besar,Klang,Selangor,(603) 33724729,41000,60,Malaysia,"No 17 Jalan Besar, Klang, Selangor",3.0070485,101.4145934,POINT (101.4145934 3.0070485)
"['Street:  G 147 Jln Tun H S Lee', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032032-5079', 'Zip code  50000', 'Country calling code  +60', 'Country  Malaysia']",G 147 Jln Tun H S Lee,Kuala Lumpur,Wilayah Persekutuan,032032-5079,50000,60,Malaysia,"G 147 Jln Tun H S Lee, Kuala Lumpur, Wilayah Persekutuan",3.17212045,101.6707866554408,POINT (101.6707866554408 3.17212045)
"['Street:  34, Jalan USJ 11/2G, UEP', 'City:   Subang Jaya', 'State/province/area:    Selangor', 'Phone number  03-56369110 / 012-3704884 (Jenn33', 'Zip code  47620', 'Country calling code  +60', 'Country  Malaysia']","34, Jalan USJ 11/2G, UEP",Subang Jaya,Selangor,03-56369110 / 012-3704884 (Jenn33,47620,60,Malaysia,"34, Jalan USJ 11/2G, UEP, Subang Jaya, Selangor",3.0427562,101.5811975,POINT (101.5811975 3.0427562)
"['Street:  136 Jln Layang 16 Taman Perling', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07241-2125', 'Zip code  81200', 'Country calling code  +60', 'Country  Malaysia']",136 Jln Layang 16 Taman Perling,Johor Bahru,Johor,07241-2125,81200,60,Malaysia,"136 Jln Layang 16 Taman Perling, Johor Bahru, Johor",1.4759959,103.6795599,POINT (103.6795599 1.4759959)
"['Street:  jalan 2a/27a section 1, wangsa maju,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03 41420597', 'Zip code  53000', 'Country calling code  +60', 'Country  Malaysia']","jalan 2a/27a section 1, wangsa maju,",Kuala Lumpur,Wilayah Persekutuan,03 41420597,53000,60,Malaysia,"jalan 2a/27a section 1, wangsa maju,, Kuala Lumpur, Wilayah Persekutuan",3.2021554,101.7314146,POINT (101.7314146 3.2021554)
